PM2.5,AQI
90.02,707.0
119.17,1577.0
207.19,1747.0
148.83,1065.0
85.32,195.0
143.07,291.0
140.88,313.0
99.77,333.0
119.99,338.0
111.92,371.0
96.51,463.0
80.52,419.0
92.8,700.0
102.26,1043.0
108.19,1029.0
93.87,1041.0
109.53,1430.0
79.34,765.0
93.05,599.0
85.51,764.0
80.89,330.0
58.62,205.0
68.53,164.0
81.38,187.0
56.54,149.0
74.08,215.0
62.76,284.0
86.09,167.0
59.74,337.0
87.13,696.0
52.15,295.0
67.51,565.0
70.08,400.0
86.9,250.0
77.34,232.0
65.93,174.0
66.58,198.0
62.24,340.0
62.07,355.0
72.04,246.0
67.44,216.0
77.76,306.0
96.71,650.0
75.14,515.0
69.27,529.0
71.54,404.0
104.13,773.0
88.93,763.0
82.03,474.0
84.43,343.0
84.46,278.0
76.51,256.0
63.88,300.0
81.1,532.0
73.61,534.0
75.79,738.0
77.87,622.0
77.72,517.0
66.89,216.0
74.57,316.0
89.1,586.0
110.34,898.0
82.53,421.0
108.01,542.0
92.94,610.0
87.3,716.0
89.06,804.0
51.61,656.0
91.13,1201.0
108.92,595.0
89.63,384.0
55.27,332.0
97.88,1155.0
128.56,1355.0
103.63,1367.0
102.16,795.0
89.53,430.0
101.92,1153.0
117.99,1414.0
115.79,1042.0
189.12,1613.0
88.37,433.0
96.64,692.0
98.0,620.0
93.31,617.0
104.89,590.0
109.34,856.0
70.25,587.0
103.17,1423.0
185.77,1917.0
84.48,471.0
89.41,488.0
64.61,471.0
65.35,172.0
52.18,390.0
75.13,802.0
83.65,1035.0
220.49,1477.0
242.66,2049.0
114.78,1314.0
92.92,1215.0
91.66,1483.0
138.4,1526.0
49.18,460.0
56.42,700.0
60.36,831.0
54.45,291.0
53.5,132.0
41.64,212.0
32.36,717.0
29.98,525.0
33.3,777.0
56.51,807.0
88.85,520.0
111.68,1171.0
114.06,1332.0
116.93,1260.0
84.19,708.0
98.53,1108.0
84.16,761.0
71.82,541.0
80.51,1274.0
133.48,1241.0
116.54,1210.0
98.49,301.0
160.68,549.0
102.05,414.0
100.33,484.0
99.73,577.0
104.22,862.0
109.8,889.0
124.44,1001.0
180.27,1156.0
138.6,691.0
139.21,308.0
154.09,965.0
121.0,1434.0
80.56,579.0
103.75,1034.0
75.68,498.0
62.83,265.0
104.23,740.0
91.04,856.0
90.13,304.0
160.43,657.0
94.55,403.0
124.59,596.0
92.5,392.0
86.29,414.0
104.21,442.0
88.5,438.0
84.47,561.0
73.54,660.0
53.89,616.0
60.08,855.0
53.13,633.0
71.3,274.0
37.9,210.0
78.18,478.0
56.35,465.0
59.66,836.0
114.6,1235.0
74.48,525.0
81.11,525.0
100.39,650.0
39.97,219.0
53.61,328.0
63.06,351.0
46.17,286.0
61.24,337.0
41.81,249.0
55.09,376.0
65.54,415.0
41.04,228.0
49.71,266.0
44.75,257.0
45.84,409.0
76.36,524.0
44.79,222.0
50.16,332.0
49.07,272.0
46.06,232.0
52.82,247.0
53.39,254.0
59.44,236.0
71.01,273.0
59.98,273.0
50.7,256.0
69.87,217.0
61.53,291.0
67.03,314.0
43.37,355.0
60.05,587.0
56.93,535.0
44.14,366.0
69.0,404.0
78.16,355.0
83.27,338.0
63.79,351.0
50.27,280.0
51.54,297.0
54.35,319.0
53.59,247.0
55.77,321.0
63.58,319.0
103.08,345.0
78.25,492.0
77.84,491.0
69.99,503.0
78.7,523.0
59.96,539.0
48.27,492.0
44.81,513.0
55.21,497.0
40.89,433.0
41.59,484.0
39.02,471.0
33.5,502.0
39.42,495.0
46.84,486.0
51.63,524.0
38.12,556.0
27.79,508.0
36.27,413.0
76.41,421.0
62.72,400.0
48.12,361.0
36.8,385.0
41.37,428.0
302.08,440.0
37.15,510.0
59.76,513.0
71.94,365.0
47.95,336.0
55.91,377.0
72.06,442.0
127.23,421.0
127.37,428.0
36.42,472.0
40.97,478.0
33.38,422.0
33.51,347.0
29.56,461.0
21.89,447.0
44.87,486.0
33.16,510.0
45.25,576.0
48.95,485.0
42.89,488.0
48.36,613.0
51.7,577.0
43.18,474.0
35.8,458.0
37.76,428.0
38.1,429.0
39.43,461.0
51.78,450.0
63.4,453.0
58.21,459.0
47.83,468.0
53.64,424.0
48.18,366.0
56.75,465.0
41.21,434.0
37.33,470.0
28.74,455.0
34.05,489.0
28.94,431.0
25.06,402.0
32.05,469.0
44.02,476.0
48.73,459.0
43.54,342.0
28.66,311.0
31.01,467.0
33.95,429.0
33.7,490.0
48.21,445.0
40.66,499.0
38.65,482.0
49.47,527.0
33.2,556.0
34.52,482.0
44.57,597.0
58.92,491.0
51.03,460.0
45.77,510.0
38.22,623.0
34.44,577.0
28.8,440.0
22.14,520.0
19.66,518.0
22.3,524.0
22.33,576.0
18.54,688.0
17.91,521.0
16.28,447.0
21.06,477.0
20.82,481.0
18.18,500.0
21.41,530.0
24.51,696.0
28.15,580.0
23.65,546.0
25.32,631.0
25.87,876.0
22.62,493.0
21.12,410.0
21.79,398.0
18.87,457.0
22.11,428.0
24.07,413.0
25.9,680.0
29.8,787.0
29.37,862.0
33.95,951.0
31.13,712.0
58.28,483.0
63.92,379.0
73.89,214.0
79.37,508.0
78.64,713.0
122.92,688.0
160.05,844.0
113.9,786.0
126.66,664.0
116.02,914.0
96.65,536.0
110.05,403.0
109.84,427.0
140.06,685.0
109.11,558.0
107.26,487.0
105.87,453.0
101.86,559.0
96.15,1291.0
88.58,1350.0
129.98,1561.0
103.71,906.0
121.11,824.0
82.49,578.0
72.93,161.0
94.08,849.0
82.88,574.0
88.69,509.0
82.52,556.0
72.11,669.0
78.48,1217.0
103.22,1033.0
70.39,625.0
107.9,803.0
117.08,741.0
162.18,776.0
205.21,1630.0
165.37,1160.0
110.7,1056.0
143.72,1256.0
91.56,1154.0
133.13,1548.0
143.52,820.0
83.28,688.0
75.58,595.0
93.73,1354.0
127.46,1672.0
98.6,1472.0
84.71,1295.0
