"Q90201","q_affirmative","q_applicable"
"Diploma/associate degree","111","113"
"Preparatory","106","112"
"Bachelor","119","121"
"Preparatory","120","120"
"Refuse to answer (do not read)","72","109"
"Bachelor","93","95"
"Secondary","95","96"
"Bachelor","79","86"
"Preparatory","104","112"
"Preparatory","102","102"
"Diploma/associate degree","123","123"
"Illiterate (cannot read and write)","113","113"
"Secondary","105","105"
"Preparatory","87","94"
"Preparatory","111","113"
"Secondary","89","96"
"Preparatory","104","104"
"Secondary","128","129"
"Preparatory","110","111"
"Preparatory","118","120"
"Preparatory","102","106"
"Preparatory","97","97"
"Secondary","110","111"
"Secondary","111","113"
"Secondary","115","116"
"Diploma/associate degree","96","97"
"Secondary","110","115"
"Secondary","102","103"
"Diploma/associate degree","110","110"
"Preparatory","97","98"
"Preparatory","91","93"
"Bachelor","113","114"
"Secondary","89","89"
"Preparatory","109","111"
"Preparatory","98","100"
"Diploma/associate degree","101","102"
"Secondary","83","92"
"Secondary","89","94"
"Elementary","107","112"
"Secondary","121","124"
"Secondary","94","94"
"Bachelor","98","100"
"Bachelor","109","114"
"Bachelor","115","121"
"Secondary","107","116"
"Secondary","97","97"
"Diploma/associate degree","105","109"
"Bachelor","107","112"
"Secondary","94","99"
"Secondary","96","98"
"Secondary","90","94"
"Secondary","97","97"
"Diploma/associate degree","94","95"
"Secondary","103","105"
"Secondary","123","126"
"Bachelor","108","111"
"Elementary","96","97"
"Preparatory","101","107"
"Preparatory","98","98"
"Preparatory","99","99"
"Secondary","110","110"
"Secondary","116","116"
"Secondary","112","112"
"Preparatory","102","107"
"Preparatory","111","113"
"Secondary","95","96"
"Diploma/associate degree","122","122"
"Diploma/associate degree","94","95"
"Preparatory","89","92"
"Preparatory","74","93"
"Preparatory","114","115"
"Secondary","92","94"
"Elementary","99","99"
"Secondary","97","98"
"Preparatory","97","97"
"Secondary","119","120"
"Secondary","110","112"
"Diploma/associate degree","119","122"
"Secondary","101","110"
"Preparatory","95","95"
"Secondary","94","95"
"Diploma/associate degree","109","113"
"Preparatory","109","109"
"Diploma/associate degree","105","105"
"Secondary","93","95"
"Preparatory","80","95"
"Elementary","90","92"
"Secondary","104","104"
"Preparatory","96","97"
"Secondary","96","97"
"Bachelor","95","97"
"Secondary","99","99"
"Diploma/associate degree","96","97"
"Diploma/associate degree","97","97"
"Diploma/associate degree","102","102"
"Bachelor","87","97"
"Elementary","97","98"
"Secondary","102","102"
"Bachelor","124","126"
"Preparatory","122","123"
"Diploma/associate degree","122","124"
"Secondary","97","97"
"Bachelor","119","121"
"Bachelor","109","111"
"Bachelor","97","97"
"Secondary","99","99"
"Diploma/associate degree","116","116"
"Preparatory","98","101"
"Preparatory","103","103"
"Preparatory","111","112"
"Bachelor","118","119"
"Preparatory","78","92"
"Secondary","103","103"
"Elementary","96","96"
"Preparatory","99","100"
"Preparatory","115","115"
"Elementary","101","101"
"Preparatory","103","103"
"Elementary","90","92"
"Secondary","102","102"
"Secondary","97","98"
"Secondary","102","102"
"Diploma/associate degree","109","110"
"Secondary","97","97"
"Secondary","125","126"
"Secondary","102","102"
"Elementary","91","100"
"Secondary","117","117"
"Diploma/associate degree","89","92"
"Preparatory","95","98"
"Preparatory","92","96"
"Secondary","69","90"
"Preparatory","98","102"
"Diploma/associate degree","114","115"
"Bachelor","129","133"
"Preparatory","79","89"
"Preparatory","109","110"
"Bachelor","113","115"
"Preparatory","107","108"
"Secondary","98","98"
"Secondary","115","117"
"Bachelor","99","100"
"Secondary","106","109"
"Diploma/associate degree","96","98"
"Preparatory","88","90"
"Bachelor","123","130"
"Secondary","95","95"
"Bachelor","96","98"
"Preparatory","107","112"
"Bachelor","109","111"
"Secondary","88","90"
"Secondary","89","96"
"Secondary","113","113"
"Elementary","91","97"
"Secondary","96","97"
"Bachelor","99","118"
"Illiterate (cannot read and write)","98","98"
"Secondary","95","95"
"Bachelor","113","114"
"Diploma/associate degree","122","129"
"Secondary","90","113"
"Secondary","96","97"
"Preparatory","97","97"
"Secondary","109","111"
"Illiterate (cannot read and write)","97","101"
"Secondary","112","113"
"Bachelor","96","96"
"Secondary","123","138"
"Bachelor","93","94"
"Secondary","98","99"
"Preparatory","126","126"
"Diploma/associate degree","104","109"
"Preparatory","99","100"
"Illiterate (cannot read and write)","81","98"
"Diploma/associate degree","89","91"
"Preparatory","90","94"
"Secondary","94","102"
"Bachelor","103","111"
"Secondary","121","121"
"Illiterate (cannot read and write)","104","104"
"Secondary","84","89"
"Secondary","95","95"
"Bachelor","113","116"
"Elementary","96","96"
"Bachelor","122","123"
"Secondary","107","123"
"Diploma/associate degree","99","100"
"Bachelor","112","117"
"Bachelor","102","103"
"Secondary","82","97"
"Secondary","118","118"
"Secondary","113","116"
"Secondary","102","105"
"Elementary","96","108"
"Secondary","110","111"
"Secondary","80","96"
"Secondary","93","94"
"Bachelor","106","107"
"Secondary","95","95"
"Bachelor","113","113"
"Bachelor","114","115"
"Secondary","118","123"
"Secondary","111","112"
"Diploma/associate degree","96","97"
"Preparatory","94","94"
"Preparatory","109","112"
"Diploma/associate degree","119","119"
"Secondary","110","112"
"Elementary","97","98"
"Bachelor","115","119"
"Bachelor","99","99"
"Bachelor","98","98"
"Bachelor","111","112"
"Secondary","96","96"
"Secondary","105","106"
"Diploma/associate degree","99","100"
"Elementary","95","97"
"Preparatory","97","99"
"Preparatory","90","94"
"Secondary","118","119"
"Secondary","98","99"
"Diploma/associate degree","94","96"
"Secondary","103","104"
"Preparatory","116","118"
"Secondary","101","102"
"Secondary","125","127"
"Secondary","115","117"
"Secondary","82","90"
"Preparatory","112","113"
"Secondary","123","125"
"Bachelor","95","95"
"Secondary","94","94"
"Secondary","107","108"
"Illiterate (cannot read and write)","110","112"
"Secondary","92","93"
"Secondary","101","101"
"Diploma/associate degree","99","99"
"Preparatory","97","97"
"Secondary","108","109"
"Secondary","100","103"
"Secondary","96","97"
"Diploma/associate degree","102","104"
"Preparatory","95","97"
"Bachelor","119","121"
"Secondary","100","100"
"Secondary","109","112"
"Secondary","100","103"
"Preparatory","89","92"
"Elementary","92","92"
"Secondary","88","89"
"Preparatory","88","89"
"Secondary","114","117"
"Preparatory","98","100"
"Preparatory","77","98"
"Secondary","92","92"
"Bachelor","100","101"
"Preparatory","98","103"
"Preparatory","116","117"
"Secondary","112","114"
"Bachelor","112","127"
"Bachelor","111","111"
"Preparatory","112","112"
"Secondary","94","95"
"Secondary","115","118"
"Preparatory","98","98"
"Elementary","96","99"
"Secondary","121","122"
"Secondary","64","90"
"Secondary","113","113"
"Secondary","96","98"
"Secondary","109","110"
"Bachelor","105","108"
"Bachelor","107","107"
"Elementary","122","124"
"Secondary","115","118"
"Bachelor","111","112"
"Bachelor","106","110"
"Bachelor","95","106"
"Preparatory","112","113"
"Elementary","106","106"
"Elementary","94","95"
"Secondary","91","99"
"Diploma/associate degree","93","95"
"Secondary","95","100"
"Preparatory","113","114"
"Preparatory","113","114"
"Secondary","97","97"
"Preparatory","94","97"
"Secondary","87","95"
"Secondary","94","95"
"Bachelor","109","110"
"Diploma/associate degree","115","115"
"Elementary","93","100"
"Secondary","97","112"
"Diploma/associate degree","93","95"
"Preparatory","72","91"
"Secondary","102","106"
"Elementary","98","107"
"Bachelor","111","126"
"Preparatory","76","99"
"Preparatory","98","99"
"Bachelor","113","114"
"Secondary","100","101"
"Bachelor","108","110"
"Elementary","104","105"
"Preparatory","87","88"
"Diploma/associate degree","103","103"
"Secondary","102","103"
"Secondary","127","128"
"Preparatory","95","96"
"Preparatory","100","101"
"Secondary","97","98"
"Preparatory","93","95"
"Secondary","106","107"
"Secondary","100","101"
"Secondary","100","101"
"Secondary","94","95"
"Secondary","114","114"
"Secondary","106","106"
"Bachelor","121","122"
"Bachelor","96","96"
"Secondary","121","121"
"Secondary","99","100"
"Secondary","99","99"
"Preparatory","81","93"
"Preparatory","98","98"
"Secondary","118","119"
"Elementary","97","98"
"Diploma/associate degree","111","111"
"Preparatory","106","106"
"Secondary","104","104"
"Illiterate (cannot read and write)","88","91"
"Secondary","108","111"
"Diploma/associate degree","96","97"
"Secondary","102","104"
"Secondary","100","100"
"Bachelor","113","116"
"Preparatory","103","105"
"Secondary","99","99"
"Preparatory","90","93"
"Preparatory","107","111"
"Diploma/associate degree","83","94"
"Secondary","101","102"
"Secondary","114","116"
"Preparatory","109","109"
"Secondary","85","89"
"Secondary","87","91"
"Preparatory","109","117"
"Preparatory","93","95"
"Bachelor","89","90"
"Elementary","91","107"
"Secondary","92","94"
"Preparatory","94","96"
"Secondary","77","98"
"Bachelor","96","99"
"Elementary","67","99"
"Secondary","91","95"
"Secondary","95","96"
"Preparatory","84","94"
"Secondary","102","108"
"Diploma/associate degree","95","96"
"Secondary","91","92"
"Secondary","99","100"
"Elementary","100","101"
"Secondary","97","97"
"Diploma/associate degree","111","112"
"Diploma/associate degree","97","102"
"Secondary","95","97"
"Refuse to answer (do not read)","74","95"
"Diploma/associate degree","111","111"
"Secondary","92","95"
"Secondary","107","113"
"Secondary","92","93"
"Secondary","110","114"
"Secondary","95","97"
"Secondary","96","101"
"Bachelor","88","93"
"Diploma/associate degree","103","104"
"Preparatory","92","94"
"Secondary","98","98"
"Bachelor","86","110"
"Preparatory","104","106"
"Illiterate (cannot read and write)","74","105"
"Secondary","102","102"
"Preparatory","99","99"
"Secondary","113","113"
"Preparatory","100","101"
"Secondary","86","100"
"Secondary","102","102"
"Preparatory","98","98"
"Preparatory","101","103"
"Preparatory","93","97"
