"AQI_Bucket","PM2.5","AQI"
"Very Poor","118.91","355"
"Poor","91.41","227"
"Very Poor","95.9","316"
"Severe","137.87","536"
"Very Poor","90.71","370"
"Severe","108.68","551"
"Very Poor","98.79","393"
"Severe","145.75","671"
"Severe","179.43","969"
"Severe","170.52","471"
"Severe","203.4","529"
"","92.71",""
"Poor","64.66","213"
"Poor","78.14","297"
"Severe","100.17","605"
"Severe","147.35","691"
"Severe","206.89","971"
"","114.84",""
"Poor","89.64","270"
"Moderate","51.72","188"
"Moderate","54.59","114"
"Moderate","46.5","143"
"","",""
"","122.54",""
"Severe","147.18","557"
"","214.67",""
"Severe","207.13","536"
"Very Poor","191.01","354"
"Very Poor","192.35","381"
"Very Poor","127.64","355"
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","33.02",""
"Poor","27.29","272"
"Poor","41.43","253"
"Poor","30.16","256"
"Poor","29.42","257"
"Poor","20.87","213"
"Poor","35.08","218"
"Poor","40.23","214"
"Poor","54.25","207"
"Moderate","49.04","169"
"","35.87",""
"","46.3",""
"","39.15",""
"","45.3",""
"","43.61",""
"","",""
"","34.89",""
"Severe","38.13","1842"
"Satisfactory","36.47","72"
"Satisfactory","40.9","91"
"Moderate","34.19","124"
"Moderate","32.92","145"
"Severe","41.39","499"
"Severe","31.71","557"
"Moderate","33.48","114"
"Moderate","30.8","148"
"Satisfactory","30.47","99"
"Moderate","34.64","117"
"Poor","43.71","275"
"Moderate","46.52","183"
"Very Poor","36.54","336"
"Severe","36.87","468"
"Severe","46.19","776"
"Severe","48.44","805"
"Severe","40.18","705"
"Severe","33.5","740"
"Severe","29.36","751"
"Severe","44.59","798"
"Severe","50.65","494"
"Poor","33.93","234"
"","",""
"","43.9",""
"Very Poor","93.34","327"
"Poor","38.06","257"
"Poor","20.19","300"
"Very Poor","10.45","309"
"Very Poor","29.87","316"
"Poor","60.18","296"
"Poor","85.1","240"
"Poor","55.55","220"
"Severe","170.22","460"
"Very Poor","35.05","341"
"Poor","37.68","216"
"Moderate","32.78","174"
"Poor","53.5","252"
"Poor","48.24","283"
"Poor","63.27","282"
"Moderate","40.43","189"
"Poor","31.15","204"
"Poor","33.76","207"
"Poor","35.95","218"
"Poor","58.07","243"
"Poor","46.04","219"
"Poor","52.27","247"
"Poor","46.68","235"
"Poor","44.59","234"
"Poor","30.81","217"
"Poor","47.67","222"
"Poor","35.69","241"
"Poor","36.44","225"
"Poor","33.83","241"
"Poor","34.23","237"
"Poor","52.15","251"
"Poor","35.99","220"
"Poor","37.93","221"
"Poor","31.94","226"
"Poor","18.04","208"
"Moderate","27.9","190"
"Poor","36.51","250"
"Poor","55.71","280"
"Very Poor","57.01","306"
"Poor","53.94","249"
"Poor","49.34","213"
"Moderate","","135"
"","",""
"","",""
"","42.22",""
"Poor","39.43","268"
"Poor","42.33","267"
"Poor","26.75","216"
"Poor","34.16","212"
"Poor","30.07","214"
"Poor","25.54","222"
"Poor","38.47","216"
"Poor","42.55","236"
"Poor","38.1","225"
"Poor","27.22","231"
"Poor","41.81","298"
"Poor","75.03","267"
"Poor","","236"
"","30.48",""
"Very Poor","75.06","301"
"Very Poor","85.36","311"
"Very Poor","124.97","313"
"Poor","86.63","267"
"Poor","70.34","232"
"Poor","50.49","229"
"Poor","42.25","227"
"Poor","48.23","236"
"Very Poor","138.94","326"
"Very Poor","155.68","395"
"Severe","120.35","507"
"Severe","140.81","423"
"Very Poor","87.09","315"
"Poor","83.57","213"
"Poor","75.41","263"
"Very Poor","106.86","355"
"Very Poor","96.53","362"
"Poor","76.96","236"
"Moderate","73.05","192"
"Poor","72.52","230"
"Poor","109.22","278"
"Very Poor","122.63","390"
"Severe","214.36","509"
"Severe","381.69","472"
"Severe","182.59","457"
"Severe","271.85","721"
"Severe","230.76","420"
"Severe","203.3","417"
"Very Poor","152.03","390"
"Very Poor","176.02","361"
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
