"AQI_Bucket","PM2.5","AQI"
"Satisfactory","30.34","83"
"Satisfactory","28.29","76"
"Satisfactory","27.9","74"
"Satisfactory","30.53","78"
"Satisfactory","32.43","71"
"Satisfactory","30.19","71"
"Satisfactory","29.62","70"
"Satisfactory","32.11","77"
"Satisfactory","27.53","83"
"Satisfactory","28.6","82"
"Satisfactory","28.89","81"
"Satisfactory","34.62","80"
"Satisfactory","37.13","82"
"Satisfactory","34.6","83"
"Satisfactory","26.41","81"
"Satisfactory","21.87","69"
"Satisfactory","21.31","68"
"Satisfactory","23.35","71"
"Satisfactory","29.3","81"
"Satisfactory","29.48","83"
"Satisfactory","30.38","87"
"Satisfactory","38.39","92"
"Satisfactory","36.56","84"
"Satisfactory","30.79","86"
"Satisfactory","32.09","87"
"Satisfactory","33.88","90"
"Satisfactory","41.37","99"
"Moderate","59.48","104"
"Moderate","59.82","109"
"Moderate","45.19","106"
"Satisfactory","35.82","92"
"Satisfactory","20.49","76"
"Satisfactory","29.23","75"
"Satisfactory","26.46","77"
"Satisfactory","19.13","71"
"Satisfactory","23.01","74"
"Satisfactory","20.75","53"
"Satisfactory","31.94","61"
"Satisfactory","43.91","97"
"Moderate","42.72","124"
"Moderate","31.78","135"
"Moderate","40.18","127"
"Satisfactory","37.72","100"
"Satisfactory","38.84","98"
"Satisfactory","","100"
"Satisfactory","19.85","87"
"","",""
"","",""
"Moderate","","118"
"Moderate","","104"
"Moderate","","102"
"Moderate","","107"
"Satisfactory","","98"
"Moderate","","108"
"Moderate","","107"
"Moderate","","108"
"Moderate","","106"
"Moderate","","103"
"Satisfactory","","93"
"","",""
"","",""
"Satisfactory","","88"
"Satisfactory","28.96","65"
"Satisfactory","","62"
"Satisfactory","","65"
"Satisfactory","30.43","61"
"Satisfactory","32.38","70"
"Satisfactory","36.4","67"
"Satisfactory","47.67","81"
"Satisfactory","36.52","85"
"Satisfactory","33.4","79"
"Satisfactory","33.42","74"
"Satisfactory","41.19","66"
"Satisfactory","42.62","82"
"Satisfactory","42.99","74"
"Satisfactory","49.93","83"
"Moderate","44.12","103"
"Satisfactory","39.22","82"
"Satisfactory","44.57","81"
"Satisfactory","187.49","100"
"Very Poor","59.11","352"
"Moderate","65.71","114"
"Satisfactory","44.58","98"
"Satisfactory","113.31","73"
"Moderate","62.35","144"
"Satisfactory","79","99"
"Moderate","50.52","151"
"Moderate","55.88","113"
"Satisfactory","32.46","76"
"Satisfactory","28.99","65"
"Satisfactory","27.03","59"
"Satisfactory","27.01","62"
"Satisfactory","26.73","60"
"Satisfactory","33.13","69"
"Satisfactory","35.64","64"
"Satisfactory","34.36","61"
"Satisfactory","39.69","65"
"Satisfactory","43.05","92"
"Satisfactory","45.09","98"
"Satisfactory","47.83","80"
"Satisfactory","52.64","71"
"Satisfactory","59.24","90"
"Moderate","62.6","117"
"Satisfactory","35.4","70"
"Satisfactory","46.14","73"
"Satisfactory","33.64","76"
"Satisfactory","41.73","89"
"Satisfactory","29.29","80"
"Satisfactory","16.92","67"
"Satisfactory","35.67","60"
"Satisfactory","33.16","73"
"Satisfactory","42.07","68"
"Satisfactory","44.47","86"
"Satisfactory","38.79","88"
"Satisfactory","23.35","60"
"Satisfactory","25.5","61"
"Satisfactory","22.77","63"
"Satisfactory","25.27","70"
"Good","19.28","50"
"Satisfactory","19.32","52"
"Satisfactory","18.93","51"
"Satisfactory","23.76","65"
"Good","23.78","50"
"Good","27.34","49"
"Satisfactory","31.79","61"
"Satisfactory","61.43","83"
"Moderate","22.24","106"
"Satisfactory","17.38","55"
"Satisfactory","13.38","69"
"Satisfactory","32.62","81"
"Satisfactory","13.64","69"
"Satisfactory","16.71","64"
"Satisfactory","18.94","64"
"Satisfactory","23.76","66"
"Satisfactory","21.84","64"
"Satisfactory","51.82","87"
"Satisfactory","32.62","92"
"Satisfactory","11.68","60"
"Satisfactory","9.23","57"
"Satisfactory","11.93","51"
"Satisfactory","18.23","66"
"Satisfactory","19.15","72"
"Satisfactory","16.29","63"
"Satisfactory","21.63","63"
"Satisfactory","18.55","60"
"Satisfactory","20.36","61"
"Satisfactory","21.44","65"
"Satisfactory","15.56","56"
"Satisfactory","22.83","62"
"Satisfactory","21.11","66"
"Satisfactory","36.65","63"
"Satisfactory","20.8","78"
"Satisfactory","17.82","56"
"Satisfactory","16.63","53"
"Satisfactory","18.87","57"
"Satisfactory","17.08","62"
"Satisfactory","19.93","59"
"Satisfactory","16.98","60"
"Satisfactory","18.83","57"
"Satisfactory","16.82","59"
"Satisfactory","15.52","52"
"Satisfactory","17.44","59"
"Satisfactory","18.63","60"
"Satisfactory","19.86","65"
"Satisfactory","17.85","64"
"Satisfactory","17.62","59"
"Satisfactory","20","65"
"Satisfactory","22.28","68"
"Satisfactory","21.05","59"
"Satisfactory","20.1","66"
"Satisfactory","22.92","64"
"Satisfactory","20.96","62"
"Satisfactory","20.59","66"
"Satisfactory","20.73","68"
"Satisfactory","23.34","72"
"Satisfactory","27.61","77"
"Satisfactory","20.75","77"
"Satisfactory","23.63","67"
"Satisfactory","18.24","67"
"Satisfactory","18.35","60"
"Satisfactory","17.33","58"
"Satisfactory","18.24","60"
"Satisfactory","18.6","56"
"Satisfactory","10.61","57"
"Satisfactory","11.4","53"
"Satisfactory","13.1","60"
"Satisfactory","15.35","59"
"Satisfactory","12.86","52"
"Good","16.77","48"
"Satisfactory","20.09","57"
"Satisfactory","16.78","59"
"Satisfactory","24.78","53"
"Satisfactory","20.61","69"
"Satisfactory","20.75","65"
"Satisfactory","17.29","63"
"Satisfactory","18.74","62"
"Satisfactory","22.36","67"
"Satisfactory","18.42","70"
"Satisfactory","19.86","62"
"Satisfactory","21.93","64"
"Satisfactory","20.52","68"
"Satisfactory","23.33","68"
"Satisfactory","19.74","64"
"Satisfactory","23.62","68"
"Satisfactory","21.84","66"
"Satisfactory","25.06","63"
"Satisfactory","32.78","76"
"Satisfactory","25.32","78"
"Satisfactory","25.21","66"
"Satisfactory","27.2","70"
"Satisfactory","18.32","63"
"Satisfactory","19.07","64"
"Satisfactory","28.1","73"
"Satisfactory","30.34","90"
"Satisfactory","24.47","91"
"Satisfactory","29.84","88"
"Satisfactory","27.72","94"
"Satisfactory","24.1","77"
"Satisfactory","24.43","73"
"Satisfactory","19.03","74"
"Satisfactory","19.86","65"
"Satisfactory","20.21","65"
"Satisfactory","25.55","79"
"Satisfactory","26.75","87"
"Satisfactory","24.45","77"
"Satisfactory","30.84","87"
"Satisfactory","22.6","85"
"Satisfactory","26.76","78"
"Satisfactory","31.25","85"
"Satisfactory","29.24","80"
"Satisfactory","26.36","78"
"Satisfactory","17.35","75"
"Satisfactory","25.28","70"
"Satisfactory","21.61","82"
"Satisfactory","14.51","67"
"Satisfactory","15.17","65"
"Satisfactory","21.47","65"
"Satisfactory","13.99","62"
"Satisfactory","14","56"
"Satisfactory","20.86","62"
"Satisfactory","32.94","73"
"Satisfactory","31.82","80"
"Satisfactory","40.93","93"
"Moderate","55.08","110"
"Moderate","56.31","115"
"Moderate","72.74","167"
"Moderate","48.48","116"
"Satisfactory","41.44","88"
"Satisfactory","35.37","90"
"Satisfactory","19.99","75"
"Moderate","62.95","116"
"Satisfactory","20.75","81"
"Satisfactory","25.61","71"
"Satisfactory","36.42","88"
"Moderate","37.81","102"
"Moderate","49.17","119"
"Moderate","62.67","132"
"Moderate","46.34","110"
"Moderate","50.19","101"
"Moderate","39.65","107"
"Moderate","37.32","108"
"Moderate","36.11","103"
"Moderate","40.12","125"
"Moderate","40.02","107"
"Satisfactory","20.96","92"
"Satisfactory","17.57","84"
"Satisfactory","21.42","82"
"Satisfactory","21.84","74"
"Satisfactory","23.98","81"
"Moderate","41.38","110"
"Satisfactory","57.03","97"
"Moderate","61.98","144"
"Satisfactory","33.68","94"
"Satisfactory","50.36","96"
"Moderate","55.48","105"
"Moderate","63.66","113"
"Moderate","71.05","143"
"Moderate","77.53","143"
"Moderate","58.35","141"
"Satisfactory","25.1","88"
"Satisfactory","49.2","84"
"Satisfactory","41.2","91"
"Satisfactory","19.95","77"
"Satisfactory","25.85","77"
"Satisfactory","33.31","81"
"Satisfactory","17.95","73"
"Satisfactory","25.58","79"
"Moderate","108.3","144"
"Moderate","61.34","142"
"Moderate","71.66","124"
"Moderate","54.73","127"
"Moderate","59.58","127"
"Moderate","42.06","119"
"Satisfactory","43.16","94"
"Satisfactory","40.67","86"
"Satisfactory","28.25","92"
"Satisfactory","33.56","73"
"Satisfactory","25.83","75"
"Moderate","51.43","106"
"Satisfactory","29.32","87"
"Satisfactory","37.49","90"
"Moderate","61","119"
"Moderate","63.28","128"
"Moderate","75.78","157"
"Moderate","88.98","180"
"Moderate","78.59","179"
"Moderate","67.36","148"
"Moderate","48.45","103"
"Satisfactory","47.62","85"
"Moderate","64.42","112"
"Moderate","86.94","146"
"Poor","98.84","225"
"Moderate","61.84","142"
"Moderate","45.7","130"
"Moderate","51.63","116"
"Moderate","42.57","109"
"Satisfactory","37.34","87"
"Satisfactory","43.13","79"
"Moderate","57.89","103"
"Moderate","59.38","118"
"Moderate","57.28","117"
"Moderate","68.37","123"
"Moderate","65.81","124"
"Moderate","64.29","127"
"Moderate","63.77","123"
"Moderate","61.55","128"
"Moderate","47.27","103"
"Moderate","48.86","101"
"Moderate","51.35","106"
"Moderate","46.57","104"
"Moderate","56.8","115"
"Moderate","58.29","120"
"Moderate","60.04","120"
"Moderate","62.6","122"
"Moderate","63.63","120"
"Moderate","59.52","126"
"Moderate","70.5","132"
"Moderate","54.44","125"
"Moderate","58.36","111"
"Moderate","47.13","109"
"Moderate","62.4","113"
"Moderate","67.83","121"
"Moderate","75.06","152"
"Moderate","59.01","122"
"Moderate","42.33","106"
"Moderate","52.05","101"
"Moderate","72.45","145"
"Moderate","60.91","156"
"Moderate","50.66","130"
"Moderate","35.76","109"
"Moderate","51.09","102"
"Moderate","40.56","101"
"Satisfactory","38.48","99"
"Satisfactory","29.81","83"
"Moderate","62.71","107"
"Moderate","48.44","132"
"Moderate","49.67","109"
"Moderate","45.32","104"
"Moderate","39.5","101"
"Satisfactory","32.91","81"
"Satisfactory","37.93","92"
"Moderate","60.08","120"
"Moderate","51.88","146"
"Moderate","54.76","113"
"Moderate","68.68","134"
"Moderate","50.31","112"
"Satisfactory","41.65","80"
"Satisfactory","49.32","84"
"Satisfactory","47.31","96"
"Satisfactory","37.94","89"
"Moderate","35.35","103"
"Moderate","45.37","107"
"Moderate","47.43","123"
"Moderate","42.92","116"
"Moderate","44.28","116"
"Satisfactory","31.49","87"
"Satisfactory","36.4","85"
"Satisfactory","38.35","99"
"Moderate","51.36","105"
"Moderate","47.59","110"
"Moderate","39.23","103"
"Moderate","51.92","120"
"Moderate","45.49","115"
"Moderate","50.8","125"
"Moderate","58.18","143"
"Moderate","40.93","107"
"Moderate","36.98","114"
"Moderate","43.15","123"
"Moderate","49.8","118"
"Moderate","53.53","128"
"Moderate","65.98","152"
"Moderate","69.62","167"
"Moderate","51.08","151"
"Satisfactory","39.45","100"
"Satisfactory","34.4","91"
"Moderate","46.15","105"
"Moderate","50.05","113"
"Moderate","43.73","118"
"Moderate","41.75","106"
"Moderate","44.32","108"
"Moderate","45.56","115"
"Moderate","43.24","123"
"Moderate","39.71","113"
"Moderate","39.8","102"
"Moderate","49.74","120"
"Moderate","44.52","122"
"Moderate","51.6","119"
"Moderate","47.42","120"
"Satisfactory","46.52","97"
"Moderate","48.85","113"
"Moderate","56.52","129"
"Moderate","61.59","148"
"Moderate","58.92","149"
"Moderate","57.09","137"
"Moderate","55.88","135"
"Moderate","53.46","126"
"Moderate","55.62","136"
"Moderate","53.61","135"
"Moderate","58.15","127"
"Moderate","46.54","130"
"Moderate","46.55","130"
"Moderate","51.73","127"
"Moderate","52.79","125"
"Moderate","43.88","149"
"Moderate","52.18","123"
"Moderate","49.25","112"
"Moderate","49.46","130"
"Moderate","47.24","109"
"Moderate","41.74","106"
"Moderate","52.38","111"
"Moderate","40.54","115"
"Moderate","52.84","124"
"Moderate","46.1","127"
"Moderate","42.33","107"
"Moderate","29.75","122"
"Moderate","25.18","106"
"Moderate","40.9","107"
"Moderate","37.08","112"
"Moderate","42.76","108"
"Moderate","57.96","126"
"Moderate","63.83","144"
"Moderate","66.34","150"
"Moderate","61.63","141"
"Moderate","62.42","140"
"Moderate","53.78","124"
"Moderate","42.75","111"
"Moderate","46.45","103"
"Moderate","47.56","112"
"Moderate","56.62","120"
"Moderate","54.62","132"
"Moderate","52.76","131"
"Moderate","42.61","113"
"Satisfactory","33.28","87"
"Moderate","51.42","106"
"Moderate","39.33","120"
"Moderate","40.38","105"
"Moderate","34.41","101"
"Moderate","32.08","106"
"Satisfactory","31.91","88"
"Satisfactory","33.89","96"
"Moderate","38.93","102"
"Moderate","40.64","110"
"Moderate","55.14","121"
"Moderate","51.35","116"
"Moderate","46.82","109"
"Moderate","45.3","109"
"Moderate","40.4","107"
"Moderate","43.26","102"
"Satisfactory","35.93","92"
"Satisfactory","26.07","82"
"Satisfactory","22.5","91"
"Satisfactory","25.77","92"
"Satisfactory","38.91","92"
"Moderate","28.66","112"
"Satisfactory","35.18","98"
"Moderate","30.29","101"
"Satisfactory","28.95","89"
"Satisfactory","44.24","100"
"Satisfactory","20.3","98"
"Satisfactory","27.33","69"
"Satisfactory","28.4","78"
"Satisfactory","25.72","78"
"Moderate","25.02","102"
"Satisfactory","23.54","76"
"Satisfactory","16.31","66"
"Satisfactory","7.85","54"
"Good","11.32","50"
"Satisfactory","12.8","51"
"Good","16.38","50"
"Satisfactory","22.11","59"
"Satisfactory","23.64","69"
"Satisfactory","22.01","63"
"Satisfactory","25.77","61"
"Satisfactory","28.82","70"
"Satisfactory","25.41","74"
"Satisfactory","24.36","67"
"Satisfactory","25.35","64"
"Satisfactory","16.58","67"
"Satisfactory","14.8","66"
"Satisfactory","18.54","65"
"Satisfactory","30.39","65"
"Satisfactory","34.69","74"
"Satisfactory","26.44","72"
"Satisfactory","26.98","72"
"Satisfactory","25.37","79"
"Satisfactory","20.16","68"
"Satisfactory","26.89","65"
"Satisfactory","20.79","70"
"Satisfactory","18.25","64"
"Satisfactory","18.92","65"
"Satisfactory","20.9","63"
"Satisfactory","16.65","62"
"Satisfactory","19.38","69"
"Satisfactory","17.24","58"
"Satisfactory","19.53","64"
"Satisfactory","31.67","68"
"Satisfactory","23.49","86"
"Satisfactory","20.95","71"
"Satisfactory","20.39","62"
"Satisfactory","19.18","63"
"Satisfactory","17.84","65"
"Satisfactory","24.91","65"
"Satisfactory","26.83","69"
"Satisfactory","30.97","73"
"Satisfactory","18.98","66"
"Good","15.96","48"
"Satisfactory","19.24","64"
"Satisfactory","15.91","57"
"Satisfactory","19.14","56"
"Satisfactory","20.89","60"
"Satisfactory","20.67","64"
"Satisfactory","20.33","62"
"Satisfactory","23.21","55"
"Satisfactory","23.3","62"
"Satisfactory","18.61","64"
"Satisfactory","23.14","58"
"Satisfactory","26.99","58"
"Satisfactory","19.87","61"
"Satisfactory","18.45","59"
"Satisfactory","18.13","56"
"Satisfactory","16.26","60"
"Satisfactory","15.08","53"
"Good","14.76","48"
"Satisfactory","14.94","57"
"Satisfactory","14.31","53"
"Satisfactory","15.53","55"
"Good","13.63","49"
"Good","12.95","50"
"Satisfactory","18.62","52"
"Satisfactory","22.1","68"
"Satisfactory","26.64","70"
"Satisfactory","15.63","59"
"Satisfactory","18.63","51"
"Satisfactory","20.79","61"
"Satisfactory","23.25","67"
"Satisfactory","20.73","65"
"Satisfactory","18.28","74"
"Satisfactory","17.04","73"
"Satisfactory","17.3","68"
"Satisfactory","15.08","65"
"Satisfactory","15.29","57"
"Satisfactory","14.98","68"
"Satisfactory","14.14","63"
"Satisfactory","11.42","61"
"Satisfactory","15.3","52"
"Good","17.22","49"
"Satisfactory","15.01","53"
"Satisfactory","20.82","63"
"Satisfactory","17.64","61"
"Good","10.98","48"
"Satisfactory","11.18","51"
"Satisfactory","13.01","51"
"Satisfactory","13.84","56"
"Satisfactory","15.34","64"
"Satisfactory","20.16","63"
"Satisfactory","12.63","62"
"Satisfactory","15.92","63"
"Satisfactory","20.67","67"
"Satisfactory","19.51","62"
"Satisfactory","20.53","68"
"Satisfactory","21.84","67"
"Satisfactory","22.29","70"
"Satisfactory","21.74","69"
"Satisfactory","48.41","67"
"Moderate","68.71","120"
"Satisfactory","22.83","92"
"Satisfactory","23.96","82"
"Satisfactory","19.12","67"
"Satisfactory","22.92","74"
"Satisfactory","19.15","81"
"Satisfactory","24.78","91"
"Satisfactory","17.68","100"
"Satisfactory","13.45","81"
"Satisfactory","16.59","64"
"Satisfactory","32.55","83"
"Satisfactory","26.32","99"
"Satisfactory","38.4","93"
"Satisfactory","23.22","73"
"Satisfactory","34.28","88"
"Satisfactory","17.34","92"
"Satisfactory","26.79","95"
"Moderate","41.28","104"
"Moderate","32.73","107"
"Satisfactory","27.15","85"
"Satisfactory","35.57","88"
"Satisfactory","24.46","92"
"Satisfactory","31.67","89"
"Moderate","73.77","146"
"Satisfactory","45.16","95"
"Satisfactory","38.44","90"
"Satisfactory","20.84","72"
"Satisfactory","22.61","73"
"Satisfactory","24.94","79"
"Satisfactory","21.73","71"
"Satisfactory","19.3","75"
"Satisfactory","25.83","69"
"Satisfactory","19.25","71"
"Satisfactory","17.2","56"
"Satisfactory","20.71","69"
"Satisfactory","16.46","69"
"Satisfactory","11.71","66"
"Satisfactory","12.57","62"
"Satisfactory","13.43","65"
"Satisfactory","18.21","59"
"Satisfactory","42.44","74"
"Satisfactory","42.44","88"
"Satisfactory","34.24","80"
"Satisfactory","18.77","78"
"Satisfactory","18.62","68"
"Satisfactory","27.42","84"
"Satisfactory","27.1","77"
"Satisfactory","40","89"
"Satisfactory","54.83","95"
"Moderate","73.88","139"
"Moderate","94.17","169"
"Moderate","92.21","174"
"Moderate","69.3","159"
"Moderate","47.14","116"
"Satisfactory","52.86","96"
"Moderate","61.83","124"
"Satisfactory","27.77","96"
"Satisfactory","30.39","83"
"Satisfactory","23.32","80"
"Satisfactory","26.33","77"
"Satisfactory","20.62","82"
"Satisfactory","30.7","76"
"Satisfactory","27.07","72"
"Satisfactory","20.23","74"
"Satisfactory","21.12","77"
"Satisfactory","42.28","86"
"Satisfactory","44.17","96"
"Satisfactory","36.68","90"
"Satisfactory","41.18","79"
"Satisfactory","37.44","83"
"Satisfactory","35.44","88"
"Satisfactory","33.02","89"
"Satisfactory","23.08","86"
"Satisfactory","22.97","75"
"Satisfactory","23.25","75"
"Satisfactory","13.46","65"
"Satisfactory","13.96","70"
"Satisfactory","27.28","76"
"Satisfactory","38.2","86"
"Satisfactory","55.45","87"
"Moderate","57.3","103"
"Satisfactory","39.42","89"
"Satisfactory","23.79","68"
"Satisfactory","21.29","70"
"Satisfactory","20.31","74"
"Satisfactory","28.62","73"
"Satisfactory","28.93","77"
"Satisfactory","30.65","74"
"Satisfactory","23.6","74"
"Satisfactory","25.33","68"
"Satisfactory","24.25","69"
"Satisfactory","27.65","69"
"Satisfactory","42.91","82"
"Satisfactory","38.66","85"
"Satisfactory","44.46","91"
"Satisfactory","48.62","95"
"Satisfactory","46.52","88"
"Satisfactory","49.33","92"
"Satisfactory","35.84","89"
"Satisfactory","35.48","76"
"Satisfactory","44.27","95"
"Satisfactory","43.32","98"
"Satisfactory","35.24","82"
"Satisfactory","38.53","80"
"Satisfactory","47.81","93"
"Satisfactory","42.54","97"
"Satisfactory","30.71","82"
"Satisfactory","25.78","81"
"Satisfactory","29.66","85"
"Satisfactory","52.62","95"
"Moderate","52.64","118"
"Satisfactory","24.74","81"
"Satisfactory","22.52","75"
"Satisfactory","30.92","93"
"Moderate","40.57","101"
"Satisfactory","39.29","94"
"Satisfactory","31.1","78"
"Satisfactory","39.5","79"
"Moderate","53.93","106"
"Moderate","64.35","121"
"Moderate","45.19","111"
"Moderate","39.36","114"
"Moderate","34.68","106"
"Satisfactory","26.9","86"
"Satisfactory","26.66","66"
"Satisfactory","34.51","81"
"Satisfactory","37.86","90"
"Satisfactory","28.25","87"
"Satisfactory","41.13","82"
"Moderate","42.19","108"
"Satisfactory","44.82","100"
"Satisfactory","44.48","97"
"Satisfactory","45.49","98"
"Moderate","52.63","102"
"Moderate","46.45","115"
"Moderate","43.42","112"
"Moderate","46.36","111"
"Moderate","52.07","102"
"Satisfactory","35.27","94"
"Satisfactory","33.79","79"
"Satisfactory","29.27","82"
"Satisfactory","30.66","86"
"Satisfactory","43.83","96"
"Satisfactory","49.51","96"
"Moderate","45.3","105"
"Moderate","52.39","101"
"Moderate","35.53","103"
"Satisfactory","33.94","87"
"Satisfactory","32.82","80"
"Satisfactory","37.67","84"
"Moderate","50.47","111"
"Moderate","54.91","128"
"Moderate","45.02","120"
"Satisfactory","41.66","99"
"Moderate","43.29","103"
"Moderate","55.31","101"
"Satisfactory","47.86","94"
"Satisfactory","30.24","90"
"Satisfactory","33.96","78"
"Satisfactory","36.3","81"
"Satisfactory","35.6","82"
"Moderate","41.83","107"
"Moderate","47.39","104"
"Moderate","39.39","112"
"Satisfactory","42.58","98"
"Satisfactory","48.75","95"
"Moderate","56.2","101"
"Moderate","53.75","103"
"Moderate","70.78","137"
"Moderate","55.66","131"
"Moderate","57.89","117"
"Satisfactory","41.84","100"
"Satisfactory","44.33","93"
"Satisfactory","38.66","91"
"Satisfactory","38.88","99"
"Satisfactory","41.48","93"
"Satisfactory","39.57","95"
"Satisfactory","34.62","97"
"Satisfactory","34.77","90"
"Satisfactory","29.97","86"
"Satisfactory","33.96","88"
"Satisfactory","26.15","79"
"Satisfactory","24.15","77"
"Satisfactory","29.66","78"
"Satisfactory","38.15","91"
"Satisfactory","43.31","100"
"Moderate","40.62","103"
"Satisfactory","30.16","99"
"Satisfactory","40.28","85"
"Moderate","50.85","106"
"Satisfactory","25.25","70"
"Satisfactory","27.77","61"
"Satisfactory","27.47","67"
"Satisfactory","24.89","70"
"Satisfactory","28.45","66"
"Satisfactory","32.46","72"
"Satisfactory","22.01","68"
"Satisfactory","22.54","64"
"Satisfactory","27.12","70"
"Satisfactory","34.12","82"
"Satisfactory","31.93","74"
"Satisfactory","30.26","77"
"Satisfactory","22.68","65"
"Satisfactory","15.14","62"
"Satisfactory","18.39","67"
"Satisfactory","23.32","65"
"Satisfactory","30.06","76"
"Satisfactory","26.99","70"
"Satisfactory","22.38","64"
"Satisfactory","25.61","72"
"Satisfactory","30.24","72"
"Satisfactory","33.62","74"
"Satisfactory","25.27","66"
"Satisfactory","40","74"
"Satisfactory","34.03","94"
"Satisfactory","24.22","67"
"Satisfactory","19.42","53"
"Satisfactory","17.04","65"
"Satisfactory","19.95","71"
"Satisfactory","26.1","63"
"Satisfactory","26.25","69"
"Satisfactory","25.98","66"
"Satisfactory","21.32","61"
"Satisfactory","19.25","59"
"Satisfactory","20.74","71"
"Satisfactory","13.68","62"
"Satisfactory","20.3","61"
"Satisfactory","24.81","74"
"Satisfactory","18.36","72"
"Satisfactory","22.35","71"
"Satisfactory","26.1","79"
"Satisfactory","29.23","91"
"Satisfactory","23.02","85"
"Satisfactory","26.87","82"
"Satisfactory","17.61","73"
"Satisfactory","21.05","76"
"Satisfactory","24.29","78"
"Satisfactory","20.58","77"
"Satisfactory","15.43","82"
"Satisfactory","14.56","66"
"Satisfactory","24.81","66"
"Satisfactory","17.34","73"
"Satisfactory","23.44","74"
"Satisfactory","21.25","70"
"Satisfactory","16.82","68"
"Satisfactory","23.81","72"
"Satisfactory","17.9","79"
"Satisfactory","19.53","70"
"Satisfactory","18.13","68"
"Satisfactory","19.52","72"
"Satisfactory","18.62","66"
"Satisfactory","21.06","70"
"Satisfactory","22.25","66"
"Satisfactory","19.81","75"
"Satisfactory","28.46","74"
"Satisfactory","23.16","66"
"Satisfactory","15.87","72"
"Satisfactory","23.32","61"
"Good","9.16","49"
"Good","8.95","40"
"Good","9.69","42"
"Good","10.91","43"
"Satisfactory","22.88","55"
"Satisfactory","18.18","55"
"Satisfactory","17.6","55"
"Satisfactory","20.16","55"
"Satisfactory","21.7","58"
"Satisfactory","25.44","70"
"Satisfactory","16.53","59"
"Good","16.84","49"
"Good","16.79","50"
"Good","16.66","49"
"Good","19.57","47"
"Satisfactory","17.07","55"
"Satisfactory","18.29","57"
"Satisfactory","28.32","65"
"Satisfactory","21.55","65"
"Satisfactory","18.32","56"
"Satisfactory","18.18","52"
"Good","15.65","49"
"Satisfactory","20.38","56"
"Satisfactory","19.72","63"
"Satisfactory","16.93","63"
"Satisfactory","15.4","58"
"Satisfactory","16.6","51"
"Satisfactory","20.44","61"
"Satisfactory","28.68","65"
"Satisfactory","14.47","63"
"Good","17.5","43"
"","23.12",""
"Satisfactory","21.25","89"
"Satisfactory","16.94","77"
"Satisfactory","15.29","76"
"Satisfactory","20.75","82"
"Satisfactory","11.21","90"
"Satisfactory","11.81","82"
"Satisfactory","17.7","80"
"Satisfactory","20.41","81"
"Satisfactory","17.21","77"
"Satisfactory","12.65","69"
"Satisfactory","3.4","52"
"Good","7.23","49"
"Satisfactory","8.7","56"
"Satisfactory","6.53","68"
"Satisfactory","20.86","75"
"Satisfactory","24.92","97"
"Moderate","28.1","112"
"Moderate","26.41","117"
"Moderate","32.5","101"
"Moderate","39.74","109"
"Moderate","52.66","143"
"Moderate","36.92","123"
"Moderate","42.55","118"
"Moderate","53.12","141"
"Moderate","48.92","140"
"Moderate","55.86","168"
"Moderate","44.56","159"
"Moderate","49.07","141"
"Moderate","53.62","148"
"Moderate","60.57","155"
"Moderate","69.65","159"
"Moderate","70.39","146"
"Moderate","86.57","144"
"Poor","98.98","225"
"Poor","84.03","209"
"Moderate","49.01","135"
"Moderate","50.81","116"
"Moderate","82.8","181"
"Moderate","52.39","128"
"Satisfactory","61.4","99"
"Poor","77.79","228"
"Satisfactory","41.17","85"
"Moderate","32.48","108"
"Moderate","76.75","117"
"Moderate","84.25","179"
"Moderate","59.49","153"
"Satisfactory","41.34","97"
"Moderate","62.23","129"
"Moderate","65.74","146"
"Moderate","80.33","146"
"Moderate","65.45","186"
"Satisfactory","44.76","97"
"Moderate","101.67","167"
"Poor","99.16","234"
"Poor","92.96","220"
"Moderate","82.3","193"
"Moderate","89.84","193"
"Moderate","84.8","190"
"Poor","111.07","224"
"Poor","111.98","268"
"Poor","100.68","279"
"Moderate","76.82","180"
"Moderate","76.28","174"
"Moderate","73.75","170"
"Poor","108.95","236"
"Poor","119.3","274"
"Poor","111.51","266"
"Poor","107.39","268"
"Poor","98.08","244"
"Poor","88.87","204"
"Poor","136.42","286"
"Very Poor","120.33","312"
"Poor","94.52","228"
"Poor","97.46","225"
"Poor","102.14","218"
"Poor","106.73","274"
"Poor","93.3","239"
"Moderate","58.17","140"
"Moderate","54.73","135"
"Moderate","62.92","120"
"Moderate","113.84","189"
"Very Poor","132.79","310"
"Very Poor","122.7","305"
"Poor","119.7","295"
"Poor","114.08","298"
"Poor","86.48","243"
"Moderate","48.52","121"
"Moderate","70.34","119"
"Moderate","69.58","120"
"Moderate","68.18","137"
"Moderate","98.75","180"
"Poor","82.89","217"
"Moderate","73.27","153"
"Moderate","92.61","197"
"Moderate","80.04","190"
"Moderate","78.56","147"
"Moderate","71.6","171"
"Moderate","76.98","117"
"Poor","115.82","234"
"Poor","77.06","241"
"Moderate","58.7","130"
"Satisfactory","45.61","99"
"Moderate","65.61","106"
"Moderate","67.7","119"
"Moderate","116.65","187"
"Poor","100.55","266"
"Poor","84.46","223"
"Moderate","96.58","199"
"Poor","93.38","205"
"Poor","75.17","213"
"Moderate","45.49","105"
"Moderate","65.96","114"
"Moderate","74.62","153"
"Moderate","78.07","174"
"Moderate","65.94","120"
"Moderate","65.7","115"
"Moderate","70.03","124"
"Moderate","62.95","146"
