"Operator","Aboard","Fatalities"
"Deutsche Lufthansa","3","2"
"Trans Continental Air Transport","5","5"
"Boeing Air Transport","1","1"
"Air Orient","3","3"
"Maddux Airlines","16","16"
"Aeropostale","2","2"
"Central  Airlines","5","5"
"Colonial Air Transport","1","1"
"Air Union","2","2"
"Canadian Colonial Airways","4","4"
"Aeropostale","4","3"
"Colonial Air Transport","15","1"
"Deutsche Lufthansa","8","5"
"Cross Airways","5","5"
"Ceskoslovenske Aerolinie","11","10"
"Sabena","2","2"
"Western Canada Airways","3","3"
"Military - British Air Ministry","54","48"
"Deutsche Lufthansa","8","8"
"Aeropostale","4","4"
"Alaska-Washington Airways","3","3"
"Imperial Airways","6","3"
"Embry Riddle Company","1","1"
"Syndicato Condor","9","1"
"PacifiAir Transport","3","3"
"China National Aviation Corporation","6","4"
"Sabena","2","2"
"Varney Air Lines","1","1"
"Dominion Air Lines","1","1"
"Western Canada Airways","3","2"
"Aeropostale","3","1"
"Australian National Airways","8","8"
"Trans Continental and Western Air","8","8"
"Deutsche Lufthansa","10","2"
"PacifiAir Transport","2","2"
"Guiena Airways","1","1"
"National Air Transport","1","1"
"Air Orient","4","4"
"Rubner Flying Service","3","2"
"Deutsche Lufthansa","4","4"
"Braniff Airlines","2","2"
"Australian Aerial Services","2","2"
"American Airways","1","1"
"CIDNA","7","7"
"American Airways","6","6"
"Chicago-Detroit Airways","1","1"
"PacifiAir Transport","4","4"
"Deutsche Lufthansa","3","3"
"Syndicato Condor","3","3"
"NY, Phil., Washington AW","5","5"
"Union Airways","3","3"
"Boeing Air Transport","1","1"
"China National Aviation Corporation","3","3"
"Varney Air Lines","1","1"
"Braniff Airways","6","2"
"KLM Royal Dutch Airlines","7","5"
"Aeropostale","2","2"
"American Airways","5","4"
"Northwest Airways","1","1"
"Century PacifiLines","8","8"
"Bimini Airways","5","5"
"Transamerican Airlines","1","1"
"Boeing Air Transport","2","1"
"Aeropostale","3","3"
"Century Air Lines","5","2"
"American Airways","7","7"
"Trans Continental and Western Air","1","1"
"Air Orient","3","3"
"National Air Transport","1","1"
"Transamerica Airlines","1","1"
"Varney Air Lines","2","2"
"PacifiAir Transport","3","3"
"Panagra","9","9"
"Air Orient","7","1"
"A B Aerotransport","2","2"
"American Airways","4","3"
"Air Union","2","1"
"New England Airways","3","3"
"Aeropostale","1","1"
"Lloyd Aero Boliviano","2","2"
"Deutsche Lufthansa","2","2"
"Deutsche Lufthansa","5","5"
"Hunter Airways","2","2"
"Trans Continental and Western Air","2","2"
"Boeing Air Transport","1","1"
"Guinea Airways","2","2"
"Aeropostale","1","1"
"Eastern Air Transport","2","2"
"American Airways","1","1"
"American Airways","1","1"
"PacifiAir Transport","3","1"
"Pan American Grace Airways","2","2"
"Varney Airlines","3","3"
"Imperial Airways","15","15"
"Deutsche Lufthansa","2","1"
"Military - U.S. Navy","76","73"
"Air Orient","6","6"
"Eurasia","4","4"
"Aeropostale - La Tecoere Company","6","6"
"Eastern Air Transport","1","1"
"Trans Continental and Western Air","5","5"
"Aeroput","8","8"
"United Air Lines","10","10"
"Air France","2","2"
"United Air Lines","9","4"
"Trans Continental and Western Air","1","1"
"China National Aviation Corporation","8","8"
"Kalinin","20","14"
"National Air Transport","2","2"
"Deutsche Lufthansa","8","7"
"Union Airways","6","4"
"Imperial Airways","10","10"
"Air France","14","14"
"Air France","2","2"
"Boeing Aircraft Company","8","8"
"Air France","6","1"
"American Airways","4","4"
"Pan American Airways (Scadta)","6","5"
"Pan American Grace Airlines","15","3"
"China National Aviation Corporation","3","3"
"Air France","6","6"
"Air France","2","2"
"American Airways","7","7"
"Panagra","10","5"
"Deutsche Lufthansa","7","1"
"Aerevias Centrales Air Service","1","1"
"United Air Services","4","3"
"Swissair","12","12"
"Air France","2","2"
"China National Aviation Corporation","",""
"Rapid Air Transport","5","5"
"Qantas","3","3"
"Holyman Airways","11","11"
"Holdens Air Transport Service","4","2"
"Qantas","4","4"
"Qantas","4","4"
"Rapid Air Transport","2","2"
"Deutsche Lufthansa","3","3"
"Braniff Airlines","1","1"
"Cubana de Aviacion","8","4"
"KLM Royal Dutch Airlines","7","7"
"American Airlines","1","1"
"Trans Continental and Western Air","1","1"
"Deruluft","11","11"
"Deruluft","","3"
"Misrair","6","3"
"Deutsche Lufthansa","5","5"
"Air France","3","1"
"KLM Royal Dutch Airlines","7","7"
"Varney Air Lines","1","1"
"Trans Continental and Western Air","14","5"
"Knowles Flying Service of Detroit","12","3"
"Gor'ky Eskadril'ya","50","50"
"Wyoming Air Service","1","1"
"Chicago and Southern Airlines","2","2"
"","9","6"
"Servicio Aereo Columbiano / SCADTA","20","17"
"KLM Royal Dutch Airlines","20","6"
"Wedell-Williams Air Service Corporation","2","2"
"KLM Royal Dutch Airlines","13","13"
"China National Aviation Corporation","",""
"Delta Air Lines","4","4"
"Aero Mayflower Transit Co","3","3"
"Private","2","2"
"Western Air Express","3","3"
"Holyman Airways","5","5"
"United Air Lines","12","12"
"Aero O-Y","6","6"
"Chamberlin Flying Service","6","1"
"United Air Lines","4","4"
"Air France","4","4"
"TACA","14","14"
"Braniff Airlines","1","1"
"Air France","3","3"
"Air Bleu","2","1"
"Sabena","11","11"
"Deutsche Lufthansa","3","3"
"Imperial Airways","13","12"
"American Airlines","17","17"
"Lloyd Aereo Boliviano","13","13"
"Air France","6","6"
"American Airlines","6","1"
"Deutsche Lufthansa","4","4"
"China National Aviation Corporation","6","0"
"Compania de Mexico","14","14"
"American Airlines","2","2"
"Trans Continental and Western Air","15","13"
"Pan American Airways","25","3"
"Avio Linee Italiane","7","7"
"Deutsche Lufthansa","5","3"
"Sabena","2","2"
"Swissair","2","2"
"Holyman Airways","2","2"
"A B Aerotransport","15","1"
"Deutsche Lufthansa","6","1"
"Den Norske Luftfartskole","7","7"
"Guernsey Airways","7","7"
"Air France","3","3"
"Mexicana","1","1"
"Chicago Southern Airlines","8","8"
"SCADTA","2","2"
"British Airways","2","2"
"Imperial Airways","11","2"
"Imperial Airways","2","2"
"Varney Air Lines","3","3"
"Blue Bird Air Service","4","4"
"Mexicana","1","1"
"North Sea Aerial and General Transport","1","1"
"Deutsche Lufthansa","15","11"
"Deruluft","9","9"
"Deutsche Lufthansa","16","4"
"British Airways","4","2"
"Deutsche Lufthansa","6","6"
"Air France","5","5"
"KLM Royal Dutch Airlines","17","15"
"Western Air Express","7","7"
"Northwest Orient Airlines","2","2"
"Eastern Air Lines","14","14"
"Braniff Airways","6","6"
"China National Aviation Corporation","",""
"United Air Lines","12","12"
"Western Air Express","13","5"
"Sabena","12","12"
"United Air Lines","11","11"
"Airlines of Australia","7","5"
"Deutsche Lufthansa","4","4"
"Imperial Airways","6","5"
"Trans Continental and Western Air","13","13"
"Deutsche Lufthansa","6","2"
"Deutsche Zeppelin Reederei","97","35"
"Deutsche Lufthansa","4","4"
"Private - Purdue Reasearch Foundation","2","2"
"KLM Royal Dutch Airlines","15","15"
"Ala Littoria","9","9"
"Pan American Grace Airways","14","14"
"China National Aviation Corporation","11","3"
"Eastern Air Lines","9","4"
"Pan American Grace Airways","3","3"
"Guinea Airways","2","1"
"Air France","8","8"
"Imperial Airways","14","2"
"KLM Royal Dutch Airlines","5","4"
"United Air Lines","19","19"
"Deutsche Lufthansa","12","10"
"Sabena","11","11"
"Deutsche Lufthansa","3","3"
"Imperial Airways","19","2"
"Air France","7","2"
"Air France","3","3"
"Deutsche Lufthansa","6","6"
"Northwest Orient Airlines","10","10"
"Pan American World Airways","7","7"
"General Airways","1","1"
"Military - U.S. Navy / Military - U.S. Navy","14","11"
"TsAGI","19","13"
"Air France","12","8"
"Mexicana","2","2"
"Deutsche Lufthansa","3","3"
"Trans Continental and Western Air","9","9"
"Air France","7","7"
"Australian National Airways","1","1"
"Ala Littoria","19","19"
"Lineas Aéreas Mineras","6","1"
"United Airways of New Zealand","2","2"
"Northwest Orient Airlines","9","9"
"Cruzeiro do Sul","17","2"
"United Air Lines","10","10"
"Deutsche Lufthansa","3","3"
"Ginger Coote Airways","1","1"
"Wilson Airways","3","3"
"Pan American Grace Airways","4","4"
"Northwest Orient Airlines","10","10"
"Ala Littoria","20","20"
"LOT Polish Airlines","14","14"
"Military - Colombian Army","1","1"
"Imperial Airways","4","4"
"Pan American World Airways","15","15"
"Dai Nippon","6","6"
"","12","12"
"CSA Czech Airlines","17","16"
"Syndicato Condor","9","9"
"LOT Polish Airlines","7","7"
"Macchi","13","13"
"China National Aviation Corporation","17","14"
"North Queensland Airways","9","5"
"Deutsche Lufthansa","4","4"
"Deutsche Lufthansa","13","13"
"Sabena","20","20"
"Australian National Airways","18","18"
"British Airways","2","2"
"Jersey Airways","14","14"
"KLM Royal Dutch Airlines","19","6"
"Trans Canada Air Lines","2","2"
"Deutsche Lufthansa","15","11"
"Imperial Airways","6","4"
"United Air Lines","7","7"
"Japan Aviation Corporation","12","10"
"KLM Royal Dutch Airlines","4","4"
"Qantas","13","13"
"Swissair","9","5"
"Northwest Orient Airlines","4","4"
"Syndicato Condor","9","9"
"Guinea Airways","4","4"
"Imperial Airways","13","3"
"Deutsche Lufthansa","10","10"
"Sabena","3","3"
"Deutsche Lufthansa","8","8"
"Boeing Aircraft Company","10","10"
"Deutsche Lufthansa","13","2"
"Great Western and Southern Air Lines","6","6"
"Braniff Airlines","12","8"
"Air France","9","9"
"Imperial Airways","6","2"
"Air France","9","9"
"Military - Ecuadorian Air Force","1","1"
"KLM Royal Dutch Airlines","3","3"
"Swissair","6","6"
"Deutsche Lufthansa","7","7"
"Pan American World Airways","16","14"
"British Airways","6","5"
"Indian National Airways","2","2"
"Deutsche Lufthansa","7","7"
"KLM Royal Dutch Airlines","","1"
"British Airways","2","2"
"Iberia Airlines","10","10"
"Imperial Airways","11","5"
"Linee Aeree Italiane","7","7"
"KNILM","9","8"
"Imperial Airways","8","8"
"British Overseas Airways","3","3"
"Douglas Aircraft Company","5","5"
"Aero O-Y","9","9"
"Air France","1","1"
"Air France","",""
"Military - Royal Australian Air Force","10","10"
"LARES","18","14"
"Pennsylvania Central Airlines","25","25"
"China National Aviation Corporation","14","9"
"Deutsche Lufthansa","15","2"
"United Air Lines","10","10"
"Deutsche Lufthansa","29","29"
"","18","18"
"Air France","6","6"
"United Air Lines","16","10"
"LATI","10","10"
"Malert Airlines","12","12"
"China National Aviation Corporation","6","5"
"Trans Continental and Western Air","13","2"
"Trans Canada Air Lines","12","12"
"Eastern Air Lines","16","9"
"Deutsche Lufthansa","12","3"
"South African Airways","10","10"
"LARES","15","15"
"Manchurian Air Lines","18","18"
"Military -Royal Air Force","22","22"
"Military - Royal Air Force","22","22"
"Panair do Brasil","12","8"
"Air France","17","13"
"British Overseas Airways","10","10"
"Pan American World Airways","15","2"
"Deutsche Lufthansa","13","13"
"Northwest Orient Airlines","15","14"
"American Airlines","20","20"
"Pan American Airways","3","3"
"Trans Continental and Western Air","22","22"
"Military - Royal Australian Air Force","11","11"
"KNILM","",""
"KNILM","",""
"Qantas","18","13"
"China National Aviation Corporation","",""
"British Overseas Airways","9","9"
"Qantas","9","9"
"British Overseas Airways","20","20"
"Military - U.S. Army Air Force","33","19"
"KNILM","12","8"
"Aktiebolaget Aerotransport","7","7"
"China National Aviation Corporation","17","13"
"Guinea Airways Limited","12","12"
"United Air Lines","17","17"
"Northwest Orient Airlines","14","3"
"Military - U.S. Army Air Forces","21","21"
"Military - Royal Australian Air Force","10","10"
"Military - Royal Air Force","13","13"
"Air France","","4"
"Deutsche Lufthansa","4","4"
"KLM Royal Dutch Airlines","13","13"
"Military - Royal Air Force","14","13"
"Military - Royal Air Force","14","13"
"Air France","25","25"
"China National Aviation Corporation","",""
"Military - U.S. Army Air Forces","22","22"
"American Export Airlines","37","11"
"Deutsche Lufthansa","17","17"
"American Airlines / Military - USAF","13","12"
"Military - Royal Air Force","10","10"
"Western Airlines","19","17"
"DLL","16","2"
"British Overseas Airways","13","13"
"Military - U.S. Army Air Forces","35","35"
"Military - U.S. Army Air Forces","26","26"
"Pan American World Airways","19","19"
"Pan American Grace Airlines","15","14"
"British Overseas Airways","21","19"
"Private - Boeing Aircraft Company","10","10"
"Pan American World Airways","39","25"
"China National Aviation Corporation","3","3"
"China National Aviation Corporation","3","3"
"Military - Royal Australian Air Force","24","24"
"Qantas","13","13"
"British Overseas Airways","17","17"
"Military - U.S. Army Air Forces","20","20"
"Military - U.S. Army Air Forces","41","40"
"British Overseas Airways","17","17"
"British Overseas Airways","16","16"
"","13","12"
"British Overseas Airways","25","12"
"American Airlines","22","20"
"Military - U.S. Army Air Forces","10","10"
"Military - U.S. Air Force","27","27"
"China National Aviation Corporation","3","3"
"VASP","21","18"
"Military - U.S. Army Air Forces","22","22"
"Military - U.S. Army Air Forces","25","25"
"Military - U.S. Army Air Forces","20","20"
"American Airlines","15","15"
"Military - Royal Canadian Air Force","24","24"
"AB Aerotransport","15","13"
"Military - U.S. Army Air Forces","20","20"
"Military - Indian Air Force","1","1"
"China National Aviation Corporation","3","2"
"China National Aviation Corporation","3","3"
"Qantas","15","15"
"China National Aviation Corporation","3","3"
"Military - U.S. Air Force","31","31"
"Military - U.S. Army Air Forces / Military - U.S. Army Air Forces","25","25"
"Deutsche Lufthansa","5","5"
"American Airlines","24","24"
"China National Aviation Corporation","2","2"
"Deutsche Lufthansa","16","16"
"Military - U.S. Army","21","21"
"Pan American World Airways","6","6"
"Deutsche Lufthansa","7","5"
"Deutsche Lufthansa","20","9"
"Military - Royal Air Force","16","16"
"China National Aviation Corporation","12","12"
"China National Aviation Corporation","14","14"
"Military - U.S. Army Air Forces","22","22"
"Military - U.S. Army Air Forces","22","22"
"Military - U.S. Army Air Forces","22","22"
"China National Aviation Corporation","6","6"
"China National Aviation Corporation","4","2"
"Varig","10","10"
"Military - U.S. Army Air Forces","26","26"
"Military - U.S. Army Air Forces","22","22"
"Pan American Airways","24","22"
"Military - U.S. Army Air Forces","28","28"
"Pan American World Airways","31","17"
"Military - U.S. Navy","2","2"
"Military - U.S. Air Force","3","3"
"Military - U.S. Army Air Forces","20","20"
"Panair do Brasil","16","16"
"Deutsche Lufthansa","5","5"
"Military - Royal Netherlands East Indies Air Force","20","20"
"U. S. Air Force","19","19"
"Panair do Brasil","17","17"
"Deutsche Lufthansa","9","9"
"Military - U.S. Air Force","12","12"
"China National Aviation Corporation","3","3"
"Deutsche Lufthansa","7","7"
"Qantas","30","1"
"Deutsche Lufthansa","15","15"
"Deutsche Lufthansa","9","1"
"Military - U.S. Army Air Forces","24","24"
"Trans Continental and Western Air","24","24"
"Military - U.S. Army Air Corps","",""
"Military - U.S. Army Air Forces","30","25"
"TACA","16","16"
"BOAC","15","15"
"Deutsche Lufthansa","10","10"
"China National Aviation Corporation","3","3"
"Trans Continental and Western Air","17","9"
"Trans-Canada Air Lines","5","5"
"Military - U.S. Army Air Forces","3","3"
"China National Aviation Corporation","4","4"
"Pan American World Airways","30","23"
"American Airlines","24","24"
"China National Aviation Corporation","6","4"
"China National Aviation Corporation","3","3"
"Military - Royal Australian Air Force","11","11"
"Australian National Airways","10","10"
"Military - U.S. Army Air Forces","26","23"
"Military -Royal Air Force","23","23"
"Military - U.S. Navy","24","24"
"Navegacao Aerea Brasileira","11","11"
"Military - United States Army Air Force","30","13"
"American Airlines","22","17"
"Military - U.S. Air Force","24","24"
"China National Aviation Corporation","3","3"
"Pennsylvania Central Airlines","20","20"
"Military - U.S. Navy","13","13"
"","18","18"
"Military - U.S. Army Air Forces","25","25"
"Deutsche Lufthansa","21","21"
"Military - U.S. Air Force","31","31"
"Page Airways","13","6"
"Military - U.S. Army Air Forces","21","21"
"Military - U.S. Army Air Forces","30","30"
"Military -Royal Air Force","31","31"
"Military - U.S. Army Air Forces","23","20"
"Military - U.S. Army Air Forces","21","21"
"China National Aviation Corporation","3","3"
"MaRobertson Miller Airlines","11","2"
"Military -Royal Air Force","27","27"
"Military - Royal Indian Air Force","2","2"
